video_id,username,views
a312126168,thekrawfish,40
a308296934,thekrawfish,23
c2630449,smurfkiller4000,4
c2478974,smurfkiller4000,6
a421921134,smurfkiller4000,3
a435233912,smurfkiller4000,2
a464208400,sanslister,3
a463536946,sanslister,30
a427733487,sanslister,4
a476966182,sanslister,27
c2994879,sanslister,11
c3198926,sanslister,54
a427210867,sanslister,13
c2929283,sanslister,8
c2978742,sanslister,10
c2994979,sanslister,13
c2962527,sanslister,26
a459938070,sanslister,9
a465198686,sanslister,3
a467078844,sanslister,5
c3037518,sanslister,18
c2548778,sanslister,14
c2539811,sanslister,7
a497582603,sanslister,5
a465176860,sanslister,4
a548322085,pukicienta,6
a543659495,hazardguy,5
a373391758,fiskslem,4
a266790379,odie147,1
a277185805,odie147,1
a274263158,odie147,5
a302041506,odie147,1
a272643574,odie147,1
a267249289,odie147,1
a446674910,nscynergy,2
c2762090,nscynergy,2
a291875236,fraustdogger,0
a290142381,fraustdogger,0
a287229617,fraustdogger,0
a296690396,fraustdogger,1
c1326690,ac3r0c,1
c1677835,ac3r0c,0
a489176250,kaizuhr_,4
a476975978,kaizuhr_,4
c3480091,kaizuhr_,6
a438279494,kaizuhr_,4
c3516691,kaizuhr_,8
a491874112,kaizuhr_,0
a557763236,kaizuhr_,0
a557751636,kaizuhr_,0
c3428058,kaizuhr_,6
a557790367,kaizuhr_,0
c3198658,kaizuhr_,56
c3480070,kaizuhr_,0
a493730054,kaizuhr_,2
a438203395,kaizuhr_,5
a491939137,kaizuhr_,0
c3487003,kaizuhr_,0
a557786445,kaizuhr_,0
c3480947,kaizuhr_,0
a492236613,kaizuhr_,0
a557762083,kaizuhr_,0
a557774057,kaizuhr_,0
a557785001,kaizuhr_,0
a557797878,kaizuhr_,0
a557767681,kaizuhr_,0
a439406559,kaizuhr_,4
c917964,jc230285,1
c919877,jc230285,11
c1688218,jc230285,1
c917924,jc230285,0
a279296420,iluvbluetea,0
a476909070,sylvan16,3
c4576093,aevangelion,0
c4446960,aevangelion,5
c4446658,aevangelion,8
