video_id,username,views
a363883891,clgdoublelift,4966
a552188151,clgdoublelift,2807
a538648608,clgdoublelift,2499
a542214575,clgdoublelift,3491
a542232386,clgdoublelift,1064
a537620850,clgdoublelift,3416
a363828620,clgdoublelift,752
a542787451,clgdoublelift,321
a539568448,clgdoublelift,3316
a545475345,clgdoublelift,2897
a540970426,clgdoublelift,3115
a544013082,clgdoublelift,49922
a551302043,clgdoublelift,2648
a536801703,clgdoublelift,725
a364201547,clgdoublelift,7403
a535514331,clgdoublelift,1394
a363871878,clgdoublelift,917
a537933115,clgdoublelift,4732
a539238470,clgdoublelift,3149
a547581565,clgdoublelift,2457
a537300838,clgdoublelift,2557
a536808995,clgdoublelift,5428
a536121770,clgdoublelift,4945
a548010001,clgdoublelift,4263
a550308575,clgdoublelift,2631
a363799900,clgdoublelift,976
a546174216,clgdoublelift,7601
a546167544,clgdoublelift,330
a534736450,clgdoublelift,16539
a538956894,clgdoublelift,1827
a552616093,clgdoublelift,2850
a535855076,clgdoublelift,7899
a536202143,clgdoublelift,3120
a535541522,clgdoublelift,7015
a366150252,clgdoublelift,5457
a549905177,clgdoublelift,4328
a540643628,clgdoublelift,3411
a535202014,clgdoublelift,4661
a364787641,clgdoublelift,5081
a542795240,clgdoublelift,5036
a541232970,clgdoublelift,4908
a363806631,clgdoublelift,4215
a368130967,clgdoublelift,35494
a520188266,pewdiepie,2096
a333282715,pewdiepie,4793
a312930887,pewdiepie,3664
a309286560,pewdiepie,986
a523707839,pewdiepie,3187
a333163913,pewdiepie,5241
a520387555,pewdiepie,1756
a282644222,pewdiepie,813
a321043375,pewdiepie,1698
a430496787,pewdiepie,70181
a477091545,pewdiepie,830
a425662999,pewdiepie,3257
a307608083,pewdiepie,4837
a302947343,pewdiepie,356
a520394044,pewdiepie,5326
a433869874,pewdiepie,16444
a520417185,pewdiepie,8148
a333394177,pewdiepie,2302
a520383335,pewdiepie,1695
a324245146,pewdiepie,11639
a320576508,pewdiepie,8063
a425272303,pewdiepie,10551
a520178404,pewdiepie,1011
a523724990,pewdiepie,6022
a321050170,pewdiepie,3939
a433854691,pewdiepie,10054
a523698558,pewdiepie,2493
a425673199,pewdiepie,9735
a333038293,pewdiepie,2573
a336799981,pewdiepie,4049
a283258564,pewdiepie,1632
a307649454,pewdiepie,12523
a309710762,pewdiepie,5895
a332013806,pewdiepie,853
a523736427,pewdiepie,10804
a280533050,pewdiepie,4501
a332013557,pewdiepie,1850
a520378578,pewdiepie,1222
a302947120,pewdiepie,432
a321032944,pewdiepie,4224
a520380233,pewdiepie,986
a302880103,pewdiepie,298
a523699096,pewdiepie,1249
a321059143,pewdiepie,6341
a287583835,pewdiepie,534
a332021138,pewdiepie,6693
a309288638,pewdiepie,3661
a319810067,pewdiepie,862
a287438199,pewdiepie,534
a312941275,pewdiepie,32231
a523727691,pewdiepie,1634
a287443333,pewdiepie,1292
a477089770,pewdiepie,2465
a307937633,pewdiepie,1648
a307943815,pewdiepie,4446
a336803780,pewdiepie,25142
a309286920,pewdiepie,1236
a333398561,pewdiepie,8428
a307940422,pewdiepie,1477
a280687539,pewdiepie,463
a319944911,pewdiepie,3937
a307940126,pewdiepie,1009
a282645165,pewdiepie,2735
a280395945,pewdiepie,1390
a309286701,pewdiepie,2008
a302879910,pewdiepie,198
a319143659,pewdiepie,13727
a302879749,pewdiepie,340
a302865443,pewdiepie,216
a321044334,pewdiepie,3928
a302946537,pewdiepie,434
a307939621,pewdiepie,1655
a333393295,pewdiepie,3575
a322632502,pewdiepie,4199
a333038949,pewdiepie,3309
a302866269,pewdiepie,402
a281349130,pewdiepie,238
a302946735,pewdiepie,589
a309287120,pewdiepie,1101
a332018542,pewdiepie,4656
a433883658,pewdiepie,61598
a319811788,pewdiepie,2184
a332013658,pewdiepie,1487
a550268728,willyrex,6625
a552155880,willyrex,28395
a551490337,willyrex,30798
a551496659,willyrex,18161
a551507303,willyrex,26697
a549650920,willyrex,6660
a554595193,willyrex,26229
a552145720,willyrex,3680
a548206903,willyrex,7867
a555293797,willyrex,24024
a554046555,willyrex,11343
a551224694,willyrex,9068
a550865838,willyrex,11466
a552488771,willyrex,51471
a550526041,willyrex,8104
a555971860,willyrex,23908
a551801373,willyrex,36663
a553226564,willyrex,45804
a493990253,willyrex,30051
a551794018,willyrex,8773
a553915029,willyrex,25715
c4862101,willyrex,30083
a552146358,willyrex,4317
a554723093,willyrex,12985
a548656407,willyrex,7074
a546982323,willyrex,7699
a469828917,ocelote,177
a531060054,ocelote,479
a503515145,ocelote,1955
a403377103,ocelote,1310
a478729432,ocelote,901
a555954784,ocelote,247
a524762219,ocelote,912
a453755378,ocelote,946
a410800525,ocelote,178
a517823146,ocelote,593
a458484462,ocelote,120
a460717218,ocelote,34
a394320369,ocelote,2204
a478202320,ocelote,551
a468156126,ocelote,664
a398070490,ocelote,2796
a391317437,ocelote,1796
a447648488,ocelote,299
a428041120,ocelote,4825
a475186433,ocelote,2115
a411295933,ocelote,2024
a459307114,ocelote,925
a510677277,ocelote,1255
a383807111,ocelote,857
a481185230,ocelote,1724
a545903625,ocelote,348
a531360567,ocelote,826
a512687212,ocelote,1096
a455796435,ocelote,95
a470141771,ocelote,459
a403878563,ocelote,1565
a480882753,ocelote,713
a411201876,ocelote,4724
a470688350,ocelote,1027
a546249737,ocelote,813
a555526442,ocelote,277
a403844245,ocelote,668
a474912578,ocelote,107
a385546246,ocelote,184
a448154911,ocelote,1625
a555922230,ocelote,100
a505427513,ocelote,1792
a539301113,ocelote,1482
a461267631,ocelote,1634
a411188599,ocelote,138
a469512457,ocelote,127
a523577798,ocelote,1168
a556975466,ocelote,247
a455949643,ocelote,4792
a435175397,ocelote,1177
a475181190,ocelote,177
a391718043,ocelote,2208
a519170189,ocelote,869
a394699037,ocelote,105
a462336772,ocelote,813
a503508881,ocelote,82
a556212268,ocelote,236
a482813820,ocelote,9734
a456298896,ocelote,160
a468209339,ocelote,391
a553146174,ocelote,162
a394709506,ocelote,1641
a455272025,ocelote,51
a552791923,ocelote,193
a435265574,ocelote,1668
a452700008,ocelote,1332
a503509400,ocelote,60
a463201435,ocelote,3109
a531191700,ocelote,701
a480872363,ocelote,204
a394224556,ocelote,716
a503510072,ocelote,100
a505525263,ocelote,2389
a543762058,ocelote,55
a468203002,ocelote,208
a546296523,ocelote,1170
a474023870,ocelote,1059
a400391642,ocelote,1069
a478415465,ocelote,720
a470747788,ocelote,657
a516934260,ocelote,719
a400779745,ocelote,1091
a512418271,ocelote,786
a535597428,ocelote,1949
a383815955,ocelote,21911
a471526191,ocelote,1750
a409060542,ocelote,533
a473631198,ocelote,710
a398477561,ocelote,1651
a552770618,ocelote,143
a514529528,ocelote,405
a543762435,ocelote,78
a454277685,ocelote,1122
a398921587,ocelote,137
a515644844,ocelote,166
a402123285,ocelote,1352
a510663253,ocelote,361
a408928856,ocelote,1112
a409381968,ocelote,1383
a462834180,ocelote,3759
a448288088,ocelote,670
a521780580,ocelote,1053
a519789163,ocelote,836
a458384193,ocelote,320
a553461763,ocelote,981
a401217387,ocelote,1862
a435764606,ocelote,4469
a472423072,ocelote,1051
a401662957,ocelote,1554
a410804486,ocelote,1326
a385552413,ocelote,6147
a404586430,ocelote,3684
a543766376,ocelote,914
a462822433,ocelote,270
a394305795,ocelote,175
a528416563,ocelote,1683
a517548468,ocelote,570
a459788927,ocelote,53
a455808123,ocelote,1380
a459798706,ocelote,881
a480882647,ocelote,684
a394308533,ocelote,121
a524556331,ocelote,1937
a448124288,ocelote,428
a555841953,ocelote,140
a542957071,ocelote,652
a476863141,ocelote,1374
a551719858,ocelote,536
a448644002,ocelote,3168
a458500182,ocelote,1006
a556566722,ocelote,238
a469507797,ocelote,15
a471204077,ocelote,1131
