video_id,username,views
a528602671,strippin,375
a529153416,strippin,101
a520270301,strippin,1278
a523041709,strippin,95
a542713668,strippin,3
a546116706,strippin,51
a542756210,strippin,3
a523117815,strippin,1079
a541912450,strippin,223
a553871980,strippin,162
a522256222,strippin,320
a523042790,strippin,80
a514303090,strippin,137
a546115311,strippin,121
a547661999,strippin,79
a544541010,strippin,27
a532574602,strippin,319
a531520950,strippin,20
a542711401,strippin,10
a522839245,strippin,378
a535509732,strippin,1450
a553940040,strippin,277
a542712434,strippin,4
a532585196,strippin,725
a532510852,strippin,433
a544597643,strippin,111
a522231450,strippin,385
a544537255,strippin,19
a553862403,strippin,36
a544535902,strippin,45
a542762106,strippin,15
a541904110,strippin,24
a555082703,strippin,397
a531588202,strippin,246
a542758383,strippin,13
a542763047,strippin,9
a519348566,strippin,1193
a532602985,strippin,105
a541455159,strippin,150
a527157618,strippin,794
a544558855,strippin,2
a521988576,strippin,267
a522831406,strippin,17
a546796454,strippin,852
a544565526,strippin,91
a546129595,strippin,17
a542764701,strippin,52
a554710556,strippin,135
a546116737,strippin,18
a546138207,strippin,463
a519339189,strippin,333
a372339537,strippin,2875
a528631810,strippin,810
a549165961,strippin,138
a529152253,strippin,52
a544051048,strippin,85
a519338712,strippin,256
a549156749,strippin,147
a526299563,strippin,290
a522783432,strippin,404
a466463266,strippin,424
a520261863,strippin,584
a531979381,strippin,431
a542739329,strippin,2
a525023221,strippin,1180
a544554588,strippin,69
a523109046,strippin,387
a549176023,strippin,74
a530340108,strippin,735
a544545816,strippin,5
a529824970,strippin,421
a550635061,strippin,661
a513943474,strippin,614
a522223645,strippin,127
a522826038,strippin,125
a532576321,strippin,67
a552282514,strippin,280
a547674344,strippin,763
a531044426,strippin,289
a521984290,strippin,173
a541611295,strippin,279
a526294061,strippin,85
a542747035,strippin,66
a522794027,strippin,406
a523165021,strippin,1161
a522534880,strippin,930
a542718496,strippin,0
a522830694,strippin,73
a544579029,strippin,22
a522774826,strippin,34
a544634838,strippin,306
a546125801,strippin,204
a542151983,strippin,195
a519364414,strippin,1072
a513934048,strippin,66
a547561582,strippin,290
c4206237,strippin,2424
a535451770,strippin,568
a544617829,strippin,163
a542711037,strippin,62
a519338327,strippin,818
a556043493,strippin,461
a546130030,strippin,46
a546469386,strippin,271
a544556186,strippin,4
a523094308,strippin,536
a544045439,strippin,16
a531039326,strippin,27
a555072234,strippin,211
a544545374,strippin,6
a521905941,strippin,1164
a426192306,strippin,1262
a523054336,strippin,643
a542717579,strippin,24
a547666592,strippin,199
a514303787,strippin,109
c4206285,strippin,1782
a549185677,strippin,447
a554041875,strippin,445
a466474878,strippin,694
a425352113,strippin,1491
a529161232,strippin,1263
a544574539,strippin,3
a531586535,strippin,111
a544585929,strippin,49
a525900193,strippin,190
a524040206,strippin,1093
a526505800,strippin,2490
a543994294,strippin,157
a513933130,strippin,110
a546672609,strippin,300
a521984776,strippin,100
a531528996,strippin,1036
a525908973,strippin,1197
a532607976,strippin,1014
a546790542,strippin,494
a541527543,strippin,67
a522774088,strippin,70
a543085580,strippin,201
a544547185,strippin,5
a542726780,strippin,80
a543985542,strippin,17
a514312282,strippin,947
a541534408,strippin,161
a522831136,strippin,22
a544544202,strippin,12
a319554337,nebris,192
a314789426,nebris,108
a314795616,nebris,777
a321367396,nebris,577
a323340200,nebris,446
a333091616,nebris,258
a321027904,nebris,1315
a386317265,nebris,666
a320721175,nebris,441
a339386588,nebris,1668
a317057649,nebris,148
a320266501,nebris,230
a321790152,nebris,501
a313610511,nebris,6568
a328784599,nebris,974
a331628928,nebris,782
a324596286,nebris,422
a321017908,nebris,128
a331637231,nebris,1937
a324609973,nebris,1437
a322142265,nebris,746
a319869606,nebris,565
a319564740,nebris,1424
a324602069,nebris,565
a323344103,nebris,504
a319553988,nebris,105
a324601491,nebris,964
a314788698,nebris,360
a331634400,nebris,550
a328778483,nebris,683
a388081947,nebris,976
a374685923,nebris,2095
a321018634,nebris,199
a327544340,nebris,470
a320263114,nebris,97
a317363220,nebris,423
a322131932,nebris,206
a317354640,nebris,177
a315527857,nebris,215
a303108111,zisteau1,645
a302299883,zisteau1,186
a305291726,zisteau1,870
a303107462,zisteau1,703
a302391224,zisteau1,30
a302300264,zisteau1,96
a302614626,zisteau1,73
a302171831,zisteau1,187
a302293946,zisteau1,268
a303116370,zisteau1,476
a302388194,zisteau1,62
a443702451,dota2ti_kr,70
a548764973,dota2ti_kr,33
a442774169,dota2ti_kr,1615
a548834710,dota2ti_kr,18
a549095590,dota2ti_kr,44
a548758362,dota2ti_kr,20
a443203872,dota2ti_kr,133
a442231472,dota2ti_kr,74
a549431621,dota2ti_kr,46
a442713397,dota2ti_kr,32
a548891103,dota2ti_kr,45
a444217189,dota2ti_kr,195
a549750063,dota2ti_kr,56
a547191811,dota2ti_kr_1,3
a546245847,dota2ti_kr_1,28
a547198153,dota2ti_kr_1,8
a545642340,dota2ti_kr_1,389
a546552762,dota2ti_kr_1,7
a547210010,dota2ti_kr_1,24
a546869206,dota2ti_kr_1,28
a546683941,dota2ti_kr_1,11
a547473880,dota2ti_kr_1,45
a545945607,dota2ti_kr_1,25
a335343945,mc_arkas,310
